Token," ""ShortName"""," ""Series"""," ""CompanyName"""," ""ticksize"""," ""Lotsize"""," ""DateOfListing"""," ""DateOfDeListing"""," ""IssuePrice"""," ""FaceValue"""," ""ISINCode"""," ""52WeeksHigh"""," ""52WeeksLow"""," ""LifeTimeHigh"""," ""LifeTimeLow"""," ""HighDate"""," ""LowDate"""," ""Symbol"""," ""InstrumentType"""," ""PermittedToTrade"""," ""IssueCapital"""," ""WarningPercent"""," ""FreezePercent"""," ""CreditRating"""," ""IssueRate"""," ""IssueStartDate"""," ""InterestPaymentDate"""," ""IssueMaturityDate"""," ""BoardLotQty"""," ""Name"""," ""ListingDate"""," ""ExpulsionDate"""," ""ReAdmissionDate"""," ""RecordDate"""," ""ExpiryDate"""," ""NoDeliveryStartDate"""," ""NoDeliveryEndDate"""," ""MFill"""," ""AON"""," ""ParticipantInMarketIndex"""," ""BookClsStartDate"""," ""BookClsEndDate"""," ""EGM"""," ""AGM"""," ""Interest"""," ""Bonus"""," ""Rights"""," ""Dividends"""," ""LocalUpdateDateTime"""," ""DeleteFlag"""," ""Remarks"""," ""NormalMarketStatus"""," ""OddLotMarketStatus"""," ""SpotMarketStatus"""," ""AuctionMarketStatus"""," ""NormalMarketEligibility"""," ""OddLotlMarketEligibility"""," ""SpotMarketEligibility"""," ""AuctionlMarketEligibility"""," ""MarginPercentage"""," ""ExchangeCode"""
1283,GUJBOR,EQ,GUJARAT BOROSIL LIMITED,0.01,1,,,0,5.0,INE059C01022,0.0,0.0,11.5,0.9,,,,0,0,0,1.56,1.04,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GUJBOROSIL
12847,KRIPHO,EQ,KRISHANA PHOSCHEM LIMITED,0.01,1,,,0,10.0,INE506W01012,619.0,175.15,619.0,14.0,,,,0,0,0,587.1,391.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,KRISHANA
1289,GUJFLO,EQ,GFL LIMITED,0.01,1,,,0,1.0,INE538A01037,125.69,48.7,1144.0,2.43,,,,0,0,0,73.92,49.28,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GFLLIMITED
12904,SGBT30,GB,2.50% SOV. GOLD BOND 14 AUG 27,0.01,1,,,0,1000.0,IN0020190107,0.0,0.0,13700.0,3468.0,,,,0,0,0,14103.66,11539.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SGBAUG27
12913,SARFOO,EQ,SARVESHWAR FOODS LTD,0.01,1,,,0,1.0,INE324X01026,10.66,5.7,14.77,0.27,,,,0,0,0,7.51,5.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SARVESHWAR
12941,STFN83,ZC,0% Shriram Trans Fin Aug 26,0.01,1,,,0,1000.0,INE721A07PH3,0.0,0.0,1985.0,839.2,,,,0,0,0,2100.0,1400.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SFLZC26A
1295,GUJGAS,EQ,GUJARAT GAS CO LTD,0.01,1,,,0,2.0,INE374A01029,874.8,370.15,874.8,10.2,,,,0,0,0,891.7,594.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GUJRATGAS
12971,PRIENG,SM,PRITIKA ENG COMPONENTS LIMITED,0.01,1,,,0,5.0,INE0MJQ01020,105.0,66.5,105.0,12.58,,,,0,0,0,93.7,76.7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PRITIKA
12978,TATNPB,EQ,TATA NIFTY PRIVATE BANK ETF,0.01,1,,,0,10.0,INF277K010X4,296.7,240.38,299.0,88.11,,,,0,0,0,336.22,224.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,NPBET
12989,BAHREC,SM,BAHETI RECYCLING IND LIMITED,0.01,1,,,0,10.0,INE029Q01017,649.9,328.1,649.9,74.0,,,,0,0,0,696.4,464.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BAHETI
13,ABB,EQ,ABB INDIA LIMITED,0.01,1,,,0,2.0,INE117A01022,8940.6,4684.45,9149.95,29.27,,,,0,0,0,5739.5,4696.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ABB
13001,DHCGU,EQ,DHARMAJ CROP GUARD LIMITED,0.01,1,,,0,10.0,INE00OQ01016,386.5,165.1,389.65,137.0,,,,0,0,0,376.2,250.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DHARMAJ
13035,SAFIND,EQ,SAFARI INDUSTRIES INDIA LTD,0.01,1,,,0,2.0,INE429E01023,2744.7,1670.15,2744.7,144.8,,,,0,0,0,2627.7,1751.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SAFARI
1305,BILENE,BE,BIL ENERGY SYSTEMS LIMITED,0.01,1,,,0,1.0,INE607L01029,0.0,0.0,6.2,0.3,,,,0,0,0,0.63,0.57,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BILENERGY
13052,TQC23B,GS,91 DAY T-BILL 9 MAR 23,0.01,1,,,0,100.0,IN002022X361,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,91D090323
13053,THF23B,GS,182 DAY T-BILL 8 JUN 23,0.01,1,,,0,100.0,IN002022Y377,0.0,0.0,0.0,0.0,,,,0,0,0,0.0,0.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,182D080623
13057,UNIND,EQ,UNIPARTS INDIA LIMITED,0.01,1,,,0,10.0,INE244O01017,472.4,296.65,722.65,296.65,,,,0,0,0,499.35,332.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,UNIPARTS
13061,IIFWEA,EQ,360 ONE WAM LIMITED,0.01,1,,,0,1.0,INE466L01038,1318.0,790.5,1318.0,180.0,,,,0,0,0,1168.6,956.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,360ONE
13069,BOMRAY,BE,BOMBAY RAYON FASHIONS LTD,0.01,1,,,0,10.0,INE589G01011,0.0,0.0,419.9,2.4,,,,0,0,0,2.1,1.9,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BRFL
13071,ADIBI,EQ,ADITYA BIRLA CHEMICALS (INDIA),0.01,1,,,0,10.0,INE605B01016,260.0,202.0,331.7,6.15,,,,0,0,0,270.3,180.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ABCIL
13072,IIFSEC,EQ,IIFL CAPITAL SERVICES LIMITED,0.01,1,,,0,2.0,INE489L01022,448.95,180.0,448.95,19.05,,,,0,0,0,360.0,240.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IIFLCAPS
13081,TRIENG,EQ,TRIVENI ENGINEERING & INDUSTRI,0.01,1,,,0,1.0,INE256C01024,536.0,313.1,536.0,4.5,,,,0,0,0,425.6,283.8,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TRIVENI
13082,KOTSIL,EQ,Kotak Silver ETF,0.01,1,,,0,10.0,INF174KA1KU9,146.5,81.8,144.86,58.0,,,,0,0,0,169.27,112.84,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SILVER1
13086,AIAENG,EQ,AIA ENGINEERING LTD,0.01,1,,,0,2.0,INE212H01026,4275.0,3001.1,4949.95,75.3,,,,0,0,0,3813.8,2542.6,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,AIAENG
13091,EVEKAN,EQ,EVEREST KANTO CYLINDERS LTD,0.01,1,,,0,2.0,INE184H01027,231.57,103.0,384.9,7.3,,,,0,0,0,170.53,113.68,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,EKC
13092,ARHTEC,SM,ARHAM TECHNOLOGIES,0.01,1,,,0,10.0,INE0L2Y01011,182.6,70.8,188.0,21.88,,,,0,0,0,120.6,80.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ARHAM
13099,EMCTRA,BE,EMCO LIMITED,0.01,1,,,0,2.0,INE078A01026,0.0,0.0,328.97,0.4,,,,0,0,0,2.0,1.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,EMCO
13101,VIMLAB,EQ,VIMTA LABS LIMITED,0.01,1,,,0,2.0,INE579C01029,902.65,251.53,902.65,6.28,,,,0,0,0,889.0,592.7,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VIMTALABS
13106,NAHIND,EQ,NAHAR INDUSTRIAL ENTERPRISES,0.01,1,,,0,10.0,INE289A01011,160.9,88.8,237.9,4.0,,,,0,0,0,144.54,96.36,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,NAHARINDUS
13111,ORIABR,EQ,ORIENT CERATECH  LIMITED,0.01,1,,,0,1.0,INE569C01020,57.5,28.67,72.35,6.35,,,,0,0,0,44.46,29.64,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ORIENTCER
13116,QUIHEA,EQ,QUICK HEAL TECHNOLOGIES LTD,0.01,1,,,0,10.0,INE306L01010,825.0,245.0,825.0,63.1,,,,0,0,0,374.75,249.85,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,QUICKHEAL
13121,KERMIC,EQ,KERNEX MICROSYSTEMS INDIA LT,0.01,1,,,0,10.0,INE202H01019,1580.0,621.55,1580.0,10.6,,,,0,0,0,1172.9,1061.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,KERNEX
